Reg. Date,Property Name,Street,Block,Floor,Flat,Price$(M),Build Size(feet),Actual Size(feet),Price/sq.ft,Building age(year),Type
2019-07-08,CRONIN GDN,SHUN NING RD,BLK 07,13,A,5.08,,,,25.0,ASSIGN
2019-07-08,PAK CHEUNG BLDG,PEI HO ST,,5,,4.65,,,,56.0,ASP
2019-07-08,TAI HING BLDG,UN CHAU ST,,6,C,4.38,428.0,282.0,10233.0,24.0,ASSIGN
2019-07-08,,KIM SHIN LANE,,1,,4.2,,,,,ASSIGN
2019-07-08,KING FAI COURT,LAI CHI KOK RD,,4,03,3.46,,,,37.0,ASSIGN
2019-07-08,,BOUNDARY ST,,7,,3.73,,,,,ASSIGN
2019-07-08,喜漾,UN CHAU ST,BLK 02,9,D,8.93,,497.0,,,ASP
2019-07-08,天悅商場,UN CHAU ST,,2,205,1.38,,,,,ASSIGN
2019-07-08,YUNHAN BLDG,PRATAS ST,,13,,5.86,652.0,392.0,9000.0,25.0,ASSIGN
2019-07-08,YUNHAN BLDG,PRATAS ST,,13,,5.86,652.0,392.0,9000.0,25.0,ASSIGN
2019-07-08,PAK CHEUNG BLDG,PEI HO ST,,5,,4.65,,,,56.0,ASP
2019-07-08,TAI HING BLDG,UN CHAU ST,,6,C,4.38,428.0,282.0,10233.0,24.0,ASSIGN
2019-07-08,,KIM SHIN LANE,,1,,4.2,,,,,ASSIGN
2019-07-08,KING FAI COURT,LAI CHI KOK RD,,4,03,3.46,,,,37.0,ASSIGN
2019-07-08,,BOUNDARY ST,,7,,3.73,,,,,ASSIGN
2019-07-08,喜漾,UN CHAU ST,BLK 02,9,D,8.93,,497.0,,,ASP
2019-07-08,CRONIN GDN,SHUN NING RD,BLK 07,13,A,5.08,,,,25.0,ASSIGN
2019-07-08,天悅商場,UN CHAU ST,,2,205,1.38,,,,,ASSIGN
2019-07-08,富匯居,PEI HO ST,,21,B,4.8,488.0,270.0,9836.0,,ASSIGN
2019-07-08,富匯居,PEI HO ST,,21,B,4.8,488.0,270.0,9836.0,,ASSIGN
2019-07-09,SIU CHEONG BLDG,NAM CHEONG ST,,14,A,4.48,,,,21.0,ASP
2019-07-09,麗翠苑,LAI CHI KOK RD,BLK 01,05,02,2.29,,,,,ASP
2019-07-09,,PEI HO ST,,1,,1.9,,,,,ASP
2019-07-09,FORTUNE MANS,APLIU ST,,14,C,4.05,,,,38.0,ASP
2019-07-09,CENTRE 600,KING LAM ST,,15,E,5.28,,,,24.0,ASP
2019-07-09,LEI CHENG UK EST,FAT TSEUNG ST,BLK 02 信義樓,20,39,3.39,,,,,ASSIGN
2019-07-09,海柏匯,TUNG CHAU ST,,17,F,5.88,,,,,ASSIGN
2019-07-09,STERLING CTR,CHEUNG YUE ST,,12,02,4.2,,,,25.0,ASSIGN
2019-07-09,,CHEUNG SHA WAN RD,,5,,3.98,,,,,ASP
2019-07-09,,TAI NAN ST,,2,,4.38,,,,,ASSIGN
2019-07-09,麗翠苑,LAI CHI KOK RD,BLK 01,05,02,2.29,,,,,ASP
2019-07-09,YEN SHUN MANS,SHUN NING RD,,1,A,4.2,289.0,212.0,14532.0,40.0,ASSIGN
2019-07-10,WAH HING BLDG,YEN CHOW ST,,12,B,4.0,,,,,ASP
2019-07-10,PO LAI COURT,PO ON RD,BLK C 寶康閣,07,05,5.68,549.0,427.0,10346.0,32.0,ASSIGN
2019-07-10,,PEI HO ST,,01,,1.9,,,,,ASSIGN
2019-07-10,SHUN FAI BLDG,CHEUNG FAT ST,,12,D,4.8,,335.0,,26.0,ASP
2019-07-10,CHIP TAK BLDG,FUK WA ST,,01,C,3.75,,,,44.0,ASSIGN
2019-07-10,GREEN COURT,UN CHAU ST,,G,H,11.0,,,,31.0,ASSIGN
2019-07-10,ONE MADISON,CASTLE PEAK RD,,08,D,5.2,345.0,264.0,15072.0,,ASSIGN
2019-07-10,CHI TAT BLDG,UN CHAU ST,,09,A,3.6,354.0,227.0,10169.0,39.0,ASSIGN
2019-07-10,晉嶺,SAI YEUNG CHOI ST N,,09,C,6.88,,,,5.0,ASSIGN
2019-07-10,晉嶺,SAI YEUNG CHOI ST N,,09,C,6.88,,,,5.0,ASSIGN
2019-07-10,CHI TAT BLDG,UN CHAU ST,,09,A,3.6,354.0,227.0,10169.0,39.0,ASSIGN
2019-07-10,ONE MADISON,CASTLE PEAK RD,,08,D,5.2,345.0,264.0,15072.0,,ASSIGN
2019-07-10,GREEN COURT,UN CHAU ST,,G,H,11.0,,,,31.0,ASSIGN
2019-07-10,CHIP TAK BLDG,FUK WA ST,,01,C,3.75,,,,44.0,ASSIGN
2019-07-10,SHUN FAI BLDG,CHEUNG FAT ST,,12,D,4.8,,335.0,,26.0,ASP
2019-07-10,,PEI HO ST,,01,,1.9,,,,,ASSIGN
2019-07-10,PO LAI COURT,PO ON RD,BLK C 寶康閣,07,05,5.68,549.0,427.0,10346.0,32.0,ASSIGN
2019-07-10,WAH HING BLDG,YEN CHOW ST,,12,B,4.0,,,,,ASP
2019-07-15,CHEUNG FAI BLDG,CHEUNG WAH ST,,3.0,A,4.0,,,,35.0,ASSIGN
2019-07-15,,KIM SHIN LANE,,5.0,,3.85,,,,,ASP
2019-07-15,CHEUNG FAI BLDG,CHEUNG WAH ST,,3.0,A,4.0,,,,35.0,ASSIGN
2019-07-15,,KIM SHIN LANE,,5.0,,3.85,,,,,ASP
2019-07-15,YUN FAT BLDG,UN CHAU ST,,7.0,F,6.25,,,,31.0,ASSIGN
2019-07-15,,KIM SHIN LANE,,5.0,,3.85,,,,,ASP
2019-07-15,CHARM CTR,CASTLE PEAK RD,,,04,11.1,,,,28.0,ASSIGN
2019-07-15,CHUNG CHING BLDG,TAI PO RD,,6.0,C,4.58,,,,40.0,ASSIGN
2019-07-15,YU CHAU BLDG,CASTLE PEAK RD,,7.0,I,2.0,,,,41.0,ASSIGN
2019-07-15,HIN FAI BLDG,CASTLE PEAK RD,,5.0,D,4.15,,,,40.0,ASSIGN
2019-07-15,,CASTLE PEAK RD,,2.0,,13.12,,,,,ASSIGN
2019-07-15,HONG LEE BLDG,CASTLE PEAK RD,,8.0,C,4.0,,,,40.0,ASSIGN
2019-07-15,麗翠苑,LAI CHI KOK RD,BLK 01,22.0,11,2.47,,,,,ASP
2019-07-15,CHARM CTR,CASTLE PEAK RD,,,04,11.1,,,,28.0,ASSIGN
2019-07-15,HIN FAI BLDG,CASTLE PEAK RD,,5.0,D,4.15,,,,40.0,ASSIGN
2019-07-15,麗翠苑,LAI CHI KOK RD,BLK 01,22.0,11,2.47,,,,,ASP
2019-07-15,CHUNG CHING BLDG,TAI PO RD,,6.0,C,4.58,,,,40.0,ASSIGN
2019-07-15,YU CHAU BLDG,CASTLE PEAK RD,,7.0,I,2.0,,,,41.0,ASSIGN
2019-07-15,YU CHAU BLDG,CASTLE PEAK RD,,7.0,I,2.0,,,,41.0,ASSIGN
2019-07-15,,CASTLE PEAK RD,,2.0,,13.12,,,,,ASSIGN
2019-07-15,HIN FAI BLDG,CASTLE PEAK RD,,5.0,D,4.15,,,,40.0,ASSIGN
2019-07-15,麗翠苑,LAI CHI KOK RD,BLK 01,22.0,11,2.47,,,,,ASP
2019-07-15,CHUNG CHING BLDG,TAI PO RD,,6.0,C,4.58,,,,40.0,ASSIGN
2019-07-15,HONG LEE BLDG,CASTLE PEAK RD,,8.0,C,4.0,,,,40.0,ASSIGN
2019-07-15,HONG LEE BLDG,CASTLE PEAK RD,,8.0,C,4.0,,,,40.0,ASSIGN
2019-07-15,YUN FAT BLDG,UN CHAU ST,,7.0,F,6.25,,,,31.0,ASSIGN
2019-07-15,,KIM SHIN LANE,,5.0,,3.85,,,,,ASP
2019-07-15,,CASTLE PEAK RD,,2.0,,13.12,,,,,ASSIGN
2019-07-15,YUN FAT BLDG,UN CHAU ST,,7.0,F,6.25,,,,31.0,ASSIGN
2019-07-15,CHEUNG FAI BLDG,CHEUNG WAH ST,,3.0,A,4.0,,,,35.0,ASSIGN
2019-07-15,YUN FAT BLDG,UN CHAU ST,,7.0,F,6.25,,,,31.0,ASSIGN
2019-07-15,YU CHAU BLDG,CASTLE PEAK RD,,7.0,I,2.0,,,,41.0,ASSIGN
2019-07-15,,CASTLE PEAK RD,,2.0,,13.12,,,,,ASSIGN
2019-07-15,HIN FAI BLDG,CASTLE PEAK RD,,5.0,D,4.15,,,,40.0,ASSIGN
2019-07-15,麗翠苑,LAI CHI KOK RD,BLK 01,22.0,11,2.47,,,,,ASP
2019-07-15,CHUNG CHING BLDG,TAI PO RD,,6.0,C,4.58,,,,40.0,ASSIGN
2019-07-15,CHARM CTR,CASTLE PEAK RD,,,04,11.1,,,,28.0,ASSIGN
2019-07-15,HONG LEE BLDG,CASTLE PEAK RD,,8.0,C,4.0,,,,40.0,ASSIGN
2019-07-15,HONG LEE BLDG,CASTLE PEAK RD,,8.0,C,4.0,,,,40.0,ASSIGN
2019-07-15,CHARM CTR,CASTLE PEAK RD,,,04,11.1,,,,28.0,ASSIGN
2019-07-15,CHUNG CHING BLDG,TAI PO RD,,6.0,C,4.58,,,,40.0,ASSIGN
2019-07-15,麗翠苑,LAI CHI KOK RD,BLK 01,22.0,11,2.47,,,,,ASP
2019-07-15,HIN FAI BLDG,CASTLE PEAK RD,,5.0,D,4.15,,,,40.0,ASSIGN
2019-07-15,,CASTLE PEAK RD,,2.0,,13.12,,,,,ASSIGN
2019-07-15,YU CHAU BLDG,CASTLE PEAK RD,,7.0,I,2.0,,,,41.0,ASSIGN
2019-07-15,CHEUNG FAI BLDG,CHEUNG WAH ST,,3.0,A,4.0,,,,35.0,ASSIGN
2019-07-15,CHEUNG FAI BLDG,CHEUNG WAH ST,,3.0,A,4.0,,,,35.0,ASSIGN
2019-07-15,YUN FAT BLDG,UN CHAU ST,,7.0,F,6.25,,,,31.0,ASSIGN
2019-07-15,YUN FAT BLDG,UN CHAU ST,,7.0,F,6.25,,,,31.0,ASSIGN
2019-07-15,HONG LEE BLDG,CASTLE PEAK RD,,8.0,C,4.0,,,,40.0,ASSIGN
2019-07-15,HONG LEE BLDG,CASTLE PEAK RD,,8.0,C,4.0,,,,40.0,ASSIGN
2019-07-15,CHARM CTR,CASTLE PEAK RD,,,04,11.1,,,,28.0,ASSIGN
2019-07-15,CHUNG CHING BLDG,TAI PO RD,,6.0,C,4.58,,,,40.0,ASSIGN
2019-07-15,麗翠苑,LAI CHI KOK RD,BLK 01,22.0,11,2.47,,,,,ASP
2019-07-15,HIN FAI BLDG,CASTLE PEAK RD,,5.0,D,4.15,,,,40.0,ASSIGN
2019-07-15,,CASTLE PEAK RD,,2.0,,13.12,,,,,ASSIGN
2019-07-15,YU CHAU BLDG,CASTLE PEAK RD,,7.0,I,2.0,,,,41.0,ASSIGN
2019-07-15,,KIM SHIN LANE,,5.0,,3.85,,,,,ASP
2019-07-15,CHEUNG FAI BLDG,CHEUNG WAH ST,,3.0,A,4.0,,,,35.0,ASSIGN
2019-07-15,CHEUNG FAI BLDG,CHEUNG WAH ST,,3.0,A,4.0,,,,35.0,ASSIGN
2019-07-15,YU CHAU BLDG,CASTLE PEAK RD,,7.0,I,2.0,,,,41.0,ASSIGN
2019-07-15,,CASTLE PEAK RD,,2.0,,13.12,,,,,ASSIGN
2019-07-15,HIN FAI BLDG,CASTLE PEAK RD,,5.0,D,4.15,,,,40.0,ASSIGN
2019-07-15,麗翠苑,LAI CHI KOK RD,BLK 01,22.0,11,2.47,,,,,ASP
2019-07-15,CHUNG CHING BLDG,TAI PO RD,,6.0,C,4.58,,,,40.0,ASSIGN
2019-07-15,CHARM CTR,CASTLE PEAK RD,,,04,11.1,,,,28.0,ASSIGN
2019-07-15,,KIM SHIN LANE,,5.0,,3.85,,,,,ASP
2019-07-15,,KIM SHIN LANE,,5.0,,3.85,,,,,ASP
2019-07-15,CHARM CTR,CASTLE PEAK RD,,,04,11.1,,,,28.0,ASSIGN
2019-07-15,YUN FAT BLDG,UN CHAU ST,,7.0,F,6.25,,,,31.0,ASSIGN
2019-07-16,PREMIER CTR,CHEUNG SHUN ST,,13,01,8.43,,,,26.0,ASSIGN
2019-07-16,PO HEI COURT,PO ON RD,BLK B 榮熙閣,12,10,8.1,,,,27.0,ASSIGN
2019-07-16,PENTA HSE,TAI PO RD,,4,F,2.8,,410.0,,57.0,ASSIGN
2019-07-16,BAO HUA BLDG,CHEUNG SHA WAN RD,,2,D,4.17,,,,53.0,ASSIGN
2019-07-16,麗翠苑,LAI CHI KOK RD,BLK 03,6,05,1.05,,,,,ASP
2019-07-16,LAI BO GDN,CHEUNG WAH ST,BLK 02,14,F,6.0,577.0,379.0,10398.0,29.0,ASSIGN
2019-07-16,CHI TAT BLDG,UN CHAU ST,,4,A,3.7,,,,39.0,ASP
2019-07-16,丰滙,LAI CHI KOK RD,BLK 02,9,E,11.45,,708.0,,,ASSIGN
2019-07-16,ONE WEST,LAI CHI KOK RD,BLK 02,27,C,11.08,821.0,616.0,13505.0,6.0,ASSIGN
2019-07-16,永隆大廈(0260-0266),CASTLE PEAK RD,,9,A,4.6,,,,28.0,ASSIGN
2019-07-16,PREMIER CTR,CHEUNG SHUN ST,,13,01,8.43,,,,26.0,ASSIGN
2019-07-16,PENTA HSE,TAI PO RD,,4,F,2.8,,410.0,,57.0,ASSIGN
2019-07-16,BAO HUA BLDG,CHEUNG SHA WAN RD,,2,D,4.17,,,,53.0,ASSIGN
2019-07-16,永隆大廈(0260-0266),CASTLE PEAK RD,,9,A,4.6,,,,28.0,ASSIGN
2019-07-16,麗翠苑,LAI CHI KOK RD,BLK 03,6,05,1.05,,,,,ASP
2019-07-16,CHI TAT BLDG,UN CHAU ST,,4,A,3.7,,,,39.0,ASP
2019-07-16,丰滙,LAI CHI KOK RD,BLK 02,9,E,11.45,,708.0,,,ASSIGN
2019-07-16,ONE WEST,LAI CHI KOK RD,BLK 02,27,C,11.08,821.0,616.0,13505.0,6.0,ASSIGN
2019-07-16,永隆大廈(0260-0266),CASTLE PEAK RD,,9,A,4.6,,,,28.0,ASSIGN
2019-07-16,PREMIER CTR,CHEUNG SHUN ST,,13,01,8.43,,,,26.0,ASSIGN
2019-07-16,PO HEI COURT,PO ON RD,BLK B 榮熙閣,12,10,8.1,,,,27.0,ASSIGN
2019-07-16,PENTA HSE,TAI PO RD,,4,F,2.8,,410.0,,57.0,ASSIGN
2019-07-16,BAO HUA BLDG,CHEUNG SHA WAN RD,,2,D,4.17,,,,53.0,ASSIGN
2019-07-16,麗翠苑,LAI CHI KOK RD,BLK 03,6,05,1.05,,,,,ASP
2019-07-16,LAI BO GDN,CHEUNG WAH ST,BLK 02,14,F,6.0,577.0,379.0,10398.0,29.0,ASSIGN
2019-07-16,CHI TAT BLDG,UN CHAU ST,,4,A,3.7,,,,39.0,ASP
2019-07-16,丰滙,LAI CHI KOK RD,BLK 02,9,E,11.45,,708.0,,,ASSIGN
2019-07-16,ONE WEST,LAI CHI KOK RD,BLK 02,27,C,11.08,821.0,616.0,13505.0,6.0,ASSIGN
2019-07-16,LAI BO GDN,CHEUNG WAH ST,BLK 02,14,F,6.0,577.0,379.0,10398.0,29.0,ASSIGN
2019-07-16,永隆大廈(0260-0266),CASTLE PEAK RD,,9,A,4.6,,,,28.0,ASSIGN
2019-07-16,ONE WEST,LAI CHI KOK RD,BLK 02,27,C,11.08,821.0,616.0,13505.0,6.0,ASSIGN
2019-07-16,CHI TAT BLDG,UN CHAU ST,,4,A,3.7,,,,39.0,ASP
2019-07-16,ONE WEST,LAI CHI KOK RD,BLK 02,27,C,11.08,821.0,616.0,13505.0,6.0,ASSIGN
2019-07-16,永隆大廈(0260-0266),CASTLE PEAK RD,,9,A,4.6,,,,28.0,ASSIGN
2019-07-16,PREMIER CTR,CHEUNG SHUN ST,,13,01,8.43,,,,26.0,ASSIGN
2019-07-16,PO HEI COURT,PO ON RD,BLK B 榮熙閣,12,10,8.1,,,,27.0,ASSIGN
2019-07-16,PENTA HSE,TAI PO RD,,4,F,2.8,,410.0,,57.0,ASSIGN
2019-07-16,BAO HUA BLDG,CHEUNG SHA WAN RD,,2,D,4.17,,,,53.0,ASSIGN
2019-07-16,麗翠苑,LAI CHI KOK RD,BLK 03,6,05,1.05,,,,,ASP
2019-07-16,LAI BO GDN,CHEUNG WAH ST,BLK 02,14,F,6.0,577.0,379.0,10398.0,29.0,ASSIGN
2019-07-16,CHI TAT BLDG,UN CHAU ST,,4,A,3.7,,,,39.0,ASP
2019-07-16,丰滙,LAI CHI KOK RD,BLK 02,9,E,11.45,,708.0,,,ASSIGN
2019-07-16,ONE WEST,LAI CHI KOK RD,BLK 02,27,C,11.08,821.0,616.0,13505.0,6.0,ASSIGN
2019-07-16,永隆大廈(0260-0266),CASTLE PEAK RD,,9,A,4.6,,,,28.0,ASSIGN
2019-07-16,PREMIER CTR,CHEUNG SHUN ST,,13,01,8.43,,,,26.0,ASSIGN
2019-07-16,丰滙,LAI CHI KOK RD,BLK 02,9,E,11.45,,708.0,,,ASSIGN
2019-07-16,PO HEI COURT,PO ON RD,BLK B 榮熙閣,12,10,8.1,,,,27.0,ASSIGN
2019-07-16,BAO HUA BLDG,CHEUNG SHA WAN RD,,2,D,4.17,,,,53.0,ASSIGN
2019-07-16,麗翠苑,LAI CHI KOK RD,BLK 03,6,05,1.05,,,,,ASP
2019-07-16,LAI BO GDN,CHEUNG WAH ST,BLK 02,14,F,6.0,577.0,379.0,10398.0,29.0,ASSIGN
2019-07-16,CHI TAT BLDG,UN CHAU ST,,4,A,3.7,,,,39.0,ASP
2019-07-16,丰滙,LAI CHI KOK RD,BLK 02,9,E,11.45,,708.0,,,ASSIGN
2019-07-16,ONE WEST,LAI CHI KOK RD,BLK 02,27,C,11.08,821.0,616.0,13505.0,6.0,ASSIGN
2019-07-16,永隆大廈(0260-0266),CASTLE PEAK RD,,9,A,4.6,,,,28.0,ASSIGN
2019-07-16,PREMIER CTR,CHEUNG SHUN ST,,13,01,8.43,,,,26.0,ASSIGN
2019-07-16,PO HEI COURT,PO ON RD,BLK B 榮熙閣,12,10,8.1,,,,27.0,ASSIGN
2019-07-16,PENTA HSE,TAI PO RD,,4,F,2.8,,410.0,,57.0,ASSIGN
2019-07-16,BAO HUA BLDG,CHEUNG SHA WAN RD,,2,D,4.17,,,,53.0,ASSIGN
2019-07-16,麗翠苑,LAI CHI KOK RD,BLK 03,6,05,1.05,,,,,ASP
2019-07-16,LAI BO GDN,CHEUNG WAH ST,BLK 02,14,F,6.0,577.0,379.0,10398.0,29.0,ASSIGN
2019-07-16,PENTA HSE,TAI PO RD,,4,F,2.8,,410.0,,57.0,ASSIGN
2019-07-16,PREMIER CTR,CHEUNG SHUN ST,,13,01,8.43,,,,26.0,ASSIGN
2019-07-16,PO HEI COURT,PO ON RD,BLK B 榮熙閣,12,10,8.1,,,,27.0,ASSIGN
2019-07-16,PENTA HSE,TAI PO RD,,4,F,2.8,,410.0,,57.0,ASSIGN
2019-07-16,丰滙,LAI CHI KOK RD,BLK 02,9,E,11.45,,708.0,,,ASSIGN
2019-07-16,CHI TAT BLDG,UN CHAU ST,,4,A,3.7,,,,39.0,ASP
2019-07-16,LAI BO GDN,CHEUNG WAH ST,BLK 02,14,F,6.0,577.0,379.0,10398.0,29.0,ASSIGN
2019-07-16,麗翠苑,LAI CHI KOK RD,BLK 03,6,05,1.05,,,,,ASP
2019-07-16,BAO HUA BLDG,CHEUNG SHA WAN RD,,2,D,4.17,,,,53.0,ASSIGN
2019-07-16,PENTA HSE,TAI PO RD,,4,F,2.8,,410.0,,57.0,ASSIGN
2019-07-16,PO HEI COURT,PO ON RD,BLK B 榮熙閣,12,10,8.1,,,,27.0,ASSIGN
2019-07-16,PREMIER CTR,CHEUNG SHUN ST,,13,01,8.43,,,,26.0,ASSIGN
2019-07-16,永隆大廈(0260-0266),CASTLE PEAK RD,,9,A,4.6,,,,28.0,ASSIGN
2019-07-16,PO HEI COURT,PO ON RD,BLK B 榮熙閣,12,10,8.1,,,,27.0,ASSIGN
2019-07-16,ONE WEST,LAI CHI KOK RD,BLK 02,27,C,11.08,821.0,616.0,13505.0,6.0,ASSIGN
2019-07-16,BAO HUA BLDG,CHEUNG SHA WAN RD,,2,D,4.17,,,,53.0,ASSIGN
2019-07-16,麗翠苑,LAI CHI KOK RD,BLK 03,6,05,1.05,,,,,ASP
